1,2026-01-01 08:45:10.939452,2026-01-01 08:45:36.605720,1
1,2026-01-01 08:46:36.647633,2026-01-01 08:46:51.793184,1
1,2026-01-01 08:47:24.625180,2026-01-01 09:08:42.509318,1
2,2026-01-01 08:47:28.604562,2026-01-01 09:12:00.065123,1
3,2026-01-01 09:08:36.767349,2026-01-01 09:12:03.333347,2
3,2026-01-01 09:11:53.533163,2026-01-01 09:12:08.218158,1
2,2026-01-01 09:24:21.734920,2026-01-01 09:24:57.536965,2
1,2026-01-01 09:21:12.208241,2026-01-01 09:25:00.517030,1
2,2026-01-01 09:43:37.858515,2026-01-01 09:45:41.364911,2
1,2026-01-01 09:43:33.955334,2026-01-01 09:45:46.865759,1
1,2026-01-01 09:50:07.448385,2026-01-01 09:53:42.975932,1
2,2026-01-02T09:10:24.421320,2026-01-02T09:26:57.119169,3
1,2026-01-02T09:09:46.337963,2026-01-02T09:27:17.362789,2
2,2026-01-02T09:10:24.421320,2026-01-02T09:27:43.151988,3
2,2026-01-02T09:10:24.421320,2026-01-02T09:30:54.253910,3
1,2026-01-02T09:09:46.337963,2026-01-02T09:30:58.510046,2
1,2026-01-02T09:40:30.494982,2026-01-02T10:29:09.287029,3
